Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1200.1000;-62.0700;-58.6400;-3.4300
1200.2000;-62.0500;-58.6400;-3.4100
1200.3000;-62.0300;-58.6300;-3.4000
1200.4000;-62.0200;-58.6200;-3.4000
1200.5000;-62.0000;-58.6100;-3.3900
1200.6000;-61.9800;-58.6000;-3.3800
1200.7000;-61.9600;-58.5900;-3.3700
1200.8000;-61.9400;-58.5900;-3.3500
1200.9000;-61.9100;-58.5800;-3.3300
1201.0000;-61.8800;-58.5700;-3.3100
1201.1000;-61.8600;-58.5600;-3.3000
1201.2000;-61.8300;-58.5400;-3.2900
1201.3000;-61.8100;-58.5300;-3.2800
1201.4000;-61.7800;-58.5100;-3.2700
1201.5000;-61.7600;-58.5000;-3.2600
1201.6000;-61.7300;-58.4900;-3.2400
1201.7000;-61.7000;-58.4700;-3.2300
1201.8000;-61.6700;-58.4500;-3.2200
1201.9000;-61.6400;-58.4300;-3.2100
1202.0000;-61.6100;-58.4100;-3.2000
1202.1000;-61.5900;-58.3900;-3.2000
1202.2000;-61.5600;-58.3700;-3.1900
1202.3000;-61.5300;-58.3500;-3.1800
1202.4000;-61.5000;-58.3400;-3.1600
1202.5000;-61.4700;-58.3100;-3.1600
1202.6000;-61.4400;-58.2900;-3.1500
1202.7000;-61.4200;-58.2600;-3.1600
1202.8000;-61.3900;-58.2400;-3.1500
1202.9000;-61.3700;-58.2200;-3.1500
1203.0000;-61.3400;-58.2000;-3.1400
1203.1000;-61.3200;-58.1700;-3.1500
1203.2000;-61.2900;-58.1500;-3.1400
1203.3000;-61.2600;-58.1200;-3.1400
1203.4000;-61.2400;-58.0900;-3.1500
1203.5000;-61.2100;-58.0600;-3.1500
1203.6000;-61.1900;-58.0400;-3.1500
1203.7000;-61.1700;-58.0200;-3.1500
1203.8000;-61.1400;-57.9900;-3.1500
1203.9000;-61.1200;-57.9700;-3.1500
1204.0000;-61.1000;-57.9500;-3.1500
1204.1000;-61.0800;-57.9200;-3.1600
1204.2000;-61.0600;-57.9000;-3.1600
1204.3000;-61.0500;-57.8800;-3.1700
1204.4000;-61.0300;-57.8600;-3.1700
1204.5000;-61.0100;-57.8400;-3.1700
1204.6000;-60.9900;-57.8200;-3.1700
1204.7000;-60.9700;-57.8000;-3.1700
1204.8000;-60.9600;-57.7800;-3.1800
1204.9000;-60.9400;-57.7700;-3.1700
1205.0000;-60.9300;-57.7500;-3.1800
1205.1000;-60.9100;-57.7400;-3.1700
1205.2000;-60.9000;-57.7200;-3.1800
1205.3000;-60.8800;-57.7000;-3.1800
1205.4000;-60.8600;-57.6900;-3.1700
1205.5000;-60.8500;-57.6700;-3.1800
1205.6000;-60.8300;-57.6600;-3.1700
1205.7000;-60.8200;-57.6500;-3.1700
1205.8000;-60.8100;-57.6400;-3.1700
1205.9000;-60.8000;-57.6300;-3.1700
1206.0000;-60.7900;-57.6100;-3.1800
1206.1000;-60.7700;-57.6000;-3.1700
1206.2000;-60.7600;-57.5900;-3.1700
1206.3000;-60.7500;-57.5800;-3.1700
1206.4000;-60.7400;-57.5700;-3.1700
1206.5000;-60.7400;-57.5600;-3.1800
1206.6000;-60.7300;-57.5500;-3.1800
1206.7000;-60.7200;-57.5400;-3.1800
1206.8000;-60.7100;-57.5300;-3.1800
1206.9000;-60.7000;-57.5200;-3.1800
1207.0000;-60.6900;-57.5100;-3.1800
1207.1000;-60.6800;-57.5000;-3.1800
1207.2000;-60.6700;-57.4900;-3.1800
1207.3000;-60.6700;-57.4800;-3.1900
1207.4000;-60.6600;-57.4600;-3.2000
1207.5000;-60.6500;-57.4500;-3.2000
1207.6000;-60.6400;-57.4400;-3.2000
1207.7000;-60.6400;-57.4300;-3.2100
1207.8000;-60.6300;-57.4100;-3.2200
1207.9000;-60.6300;-57.4000;-3.2300
1208.0000;-60.6200;-57.3900;-3.2300
1208.1000;-60.6100;-57.3700;-3.2400
1208.2000;-60.6100;-57.3600;-3.2500
1208.3000;-60.6000;-57.3400;-3.2600
1208.4000;-60.6000;-57.3200;-3.2800
1208.5000;-60.5900;-57.3000;-3.2900
1208.6000;-60.5800;-57.2800;-3.3000
1208.7000;-60.5700;-57.2600;-3.3100
1208.8000;-60.5700;-57.2400;-3.3300
1208.9000;-60.5600;-57.2200;-3.3400
1209.0000;-60.5500;-57.2000;-3.3500
1209.1000;-60.5500;-57.1700;-3.3800
1209.2000;-60.5400;-57.1500;-3.3900
1209.3000;-60.5300;-57.1300;-3.4000
1209.4000;-60.5200;-57.1000;-3.4200
1209.5000;-60.5100;-57.0800;-3.4300
1209.6000;-60.5000;-57.0500;-3.4500
1209.7000;-60.4900;-57.0300;-3.4600
1209.8000;-60.4800;-57.0000;-3.4800
1209.9000;-60.4700;-56.9700;-3.5000
1210.0000;-60.4600;-56.9500;-3.5100
1210.1000;-60.4400;-56.9200;-3.5200
1210.2000;-60.4300;-56.8900;-3.5400
1210.3000;-60.4200;-56.8600;-3.5600
1210.4000;-60.4000;-56.8400;-3.5600
1210.5000;-60.3900;-56.8100;-3.5800
1210.6000;-60.3800;-56.7800;-3.6000
1210.7000;-60.3700;-56.7600;-3.6100
1210.8000;-60.3600;-56.7300;-3.6300
1210.9000;-60.3500;-56.7100;-3.6400
1211.0000;-60.3400;-56.6800;-3.6600
1211.1000;-60.3300;-56.6500;-3.6800
1211.2000;-60.3200;-56.6300;-3.6900
1211.3000;-60.3100;-56.6000;-3.7100
1211.4000;-60.3000;-56.5800;-3.7200
1211.5000;-60.3000;-56.5600;-3.7400
1211.6000;-60.2900;-56.5300;-3.7600
1211.7000;-60.2800;-56.5100;-3.7700
1211.8000;-60.2700;-56.4900;-3.7800
1211.9000;-60.2600;-56.4600;-3.8000
1212.0000;-60.2500;-56.4400;-3.8100
1212.1000;-60.2500;-56.4300;-3.8200
1212.2000;-60.2400;-56.4100;-3.8300
1212.3000;-60.2300;-56.3900;-3.8400
1212.4000;-60.2200;-56.3700;-3.8500
1212.5000;-60.2100;-56.3500;-3.8600
1212.6000;-60.2000;-56.3300;-3.8700
1212.7000;-60.1900;-56.3100;-3.8800
1212.8000;-60.1700;-56.3000;-3.8700
1212.9000;-60.1600;-56.2800;-3.8800
1213.0000;-60.1400;-56.2700;-3.8700
1213.1000;-60.1300;-56.2500;-3.8800
1213.2000;-60.1100;-56.2300;-3.8800
1213.3000;-60.0900;-56.2200;-3.8700
1213.4000;-60.0700;-56.2000;-3.8700
1213.5000;-60.0500;-56.1900;-3.8600
1213.6000;-60.0200;-56.1700;-3.8500
1213.7000;-60.0000;-56.1600;-3.8400
1213.8000;-59.9700;-56.1400;-3.8300
1213.9000;-59.9400;-56.1300;-3.8100
1214.0000;-59.9100;-56.1100;-3.8000
1214.1000;-59.8800;-56.0900;-3.7900
1214.2000;-59.8400;-56.0800;-3.7600
1214.3000;-59.8000;-56.0600;-3.7400
1214.4000;-59.7600;-56.0400;-3.7200
1214.5000;-59.7300;-56.0300;-3.7000
1214.6000;-59.6900;-56.0100;-3.6800
1214.7000;-59.6500;-55.9900;-3.6600
1214.8000;-59.6100;-55.9700;-3.6400
1214.9000;-59.5700;-55.9500;-3.6200
1215.0000;-59.5200;-55.9300;-3.5900
1215.1000;-59.4800;-55.9000;-3.5800
1215.2000;-59.4300;-55.8800;-3.5500
1215.3000;-59.3900;-55.8600;-3.5300
1215.4000;-59.3500;-55.8400;-3.5100
1215.5000;-59.3000;-55.8200;-3.4800
1215.6000;-59.2600;-55.7900;-3.4700
1215.7000;-59.2100;-55.7700;-3.4400
1215.8000;-59.1700;-55.7400;-3.4300
1215.9000;-59.1300;-55.7200;-3.4100
1216.0000;-59.0800;-55.6900;-3.3900
1216.1000;-59.0400;-55.6600;-3.3800
1216.2000;-59.0000;-55.6300;-3.3700
1216.3000;-58.9600;-55.6100;-3.3500
1216.4000;-58.9100;-55.5800;-3.3300
1216.5000;-58.8700;-55.5500;-3.3200
1216.6000;-58.8400;-55.5200;-3.3200
1216.7000;-58.8000;-55.4900;-3.3100
1216.8000;-58.7600;-55.4600;-3.3000
1216.9000;-58.7200;-55.4300;-3.2900
1217.0000;-58.6800;-55.4000;-3.2800
1217.1000;-58.6400;-55.3700;-3.2700
1217.2000;-58.6100;-55.3400;-3.2700
1217.3000;-58.5700;-55.3100;-3.2600
1217.4000;-58.5400;-55.2800;-3.2600
1217.5000;-58.5100;-55.2500;-3.2600
1217.6000;-58.4800;-55.2200;-3.2600
1217.7000;-58.4500;-55.1900;-3.2600
1217.8000;-58.4200;-55.1600;-3.2600
1217.9000;-58.3900;-55.1300;-3.2600
1218.0000;-58.3600;-55.1000;-3.2600
1218.1000;-58.3300;-55.0700;-3.2600
1218.2000;-58.3100;-55.0400;-3.2700
1218.3000;-58.2800;-55.0100;-3.2700
1218.4000;-58.2500;-54.9900;-3.2600
1218.5000;-58.2200;-54.9600;-3.2600
1218.6000;-58.2000;-54.9300;-3.2700
1218.7000;-58.1800;-54.9100;-3.2700
1218.8000;-58.1500;-54.8800;-3.2700
1218.9000;-58.1300;-54.8600;-3.2700
1219.0000;-58.1100;-54.8300;-3.2800
1219.1000;-58.0800;-54.8100;-3.2700
1219.2000;-58.0600;-54.7800;-3.2800
1219.3000;-58.0400;-54.7600;-3.2800
1219.4000;-58.0300;-54.7400;-3.2900
1219.5000;-58.0100;-54.7200;-3.2900
1219.6000;-57.9900;-54.6900;-3.3000
1219.7000;-57.9700;-54.6700;-3.3000
1219.8000;-57.9600;-54.6500;-3.3100
1219.9000;-57.9400;-54.6300;-3.3100
1220.0000;-57.9300;-54.6100;-3.3200
1220.1000;-57.9100;-54.5900;-3.3200
1220.2000;-57.9000;-54.5700;-3.3300
1220.3000;-57.8800;-54.5500;-3.3300
1220.4000;-57.8700;-54.5300;-3.3400
1220.5000;-57.8600;-54.5100;-3.3500
1220.6000;-57.8400;-54.4800;-3.3600
1220.7000;-57.8300;-54.4600;-3.3700
1220.8000;-57.8200;-54.4400;-3.3800
1220.9000;-57.8000;-54.4200;-3.3800
1221.0000;-57.7900;-54.3900;-3.4000
1221.1000;-57.7700;-54.3700;-3.4000
1221.2000;-57.7600;-54.3400;-3.4200
1221.3000;-57.7400;-54.3200;-3.4200
1221.4000;-57.7300;-54.2900;-3.4400
1221.5000;-57.7100;-54.2700;-3.4400
1221.6000;-57.6900;-54.2400;-3.4500
1221.7000;-57.6800;-54.2100;-3.4700
1221.8000;-57.6600;-54.1800;-3.4800
1221.9000;-57.6400;-54.1500;-3.4900
1222.0000;-57.6200;-54.1200;-3.5000
1222.1000;-57.6000;-54.0900;-3.5100
1222.2000;-57.5800;-54.0600;-3.5200
1222.3000;-57.5500;-54.0300;-3.5200
1222.4000;-57.5300;-54.0000;-3.5300
1222.5000;-57.5000;-53.9600;-3.5400
1222.6000;-57.4700;-53.9300;-3.5400
1222.7000;-57.4500;-53.9000;-3.5500
1222.8000;-57.4200;-53.8600;-3.5600
1222.9000;-57.3800;-53.8300;-3.5500
1223.0000;-57.3500;-53.7900;-3.5600
1223.1000;-57.3200;-53.7600;-3.5600
1223.2000;-57.2900;-53.7200;-3.5700
1223.3000;-57.2500;-53.6800;-3.5700
1223.4000;-57.2200;-53.6500;-3.5700
1223.5000;-57.1800;-53.6100;-3.5700
1223.6000;-57.1500;-53.5700;-3.5800
1223.7000;-57.1100;-53.5400;-3.5700
1223.8000;-57.0700;-53.5000;-3.5700
1223.9000;-57.0400;-53.4600;-3.5800
1224.0000;-57.0000;-53.4200;-3.5800
