Wavelength;Intensity_Meas;Intensity_Ref;Difference_dB
1550.0000;-69.2500;-24.1800;-45.0700
1550.1000;-69.2600;-24.1700;-45.0900
1550.2000;-69.2800;-24.1500;-45.1300
1550.3000;-69.3000;-24.1400;-45.1600
1550.4000;-69.3000;-24.1200;-45.1800
1550.5000;-69.3000;-24.1000;-45.2000
1550.6000;-69.3100;-24.0900;-45.2200
1550.7000;-69.2900;-24.0700;-45.2200
1550.8000;-69.2700;-24.0500;-45.2200
1550.9000;-69.2700;-24.0300;-45.2400
1551.0000;-69.2500;-24.0200;-45.2300
1551.1000;-69.2200;-24.0000;-45.2200
1551.2000;-69.2000;-23.9800;-45.2200
1551.3000;-69.1800;-23.9600;-45.2200
1551.4000;-69.1500;-23.9400;-45.2100
1551.5000;-69.1400;-23.9200;-45.2200
1551.6000;-69.1200;-23.9000;-45.2200
1551.7000;-69.1200;-23.8800;-45.2400
1551.8000;-69.1200;-23.8600;-45.2600
1551.9000;-69.1000;-23.8400;-45.2600
1552.0000;-69.1000;-23.8200;-45.2800
1552.1000;-69.1100;-23.8100;-45.3000
1552.2000;-69.1000;-23.7900;-45.3100
1552.3000;-69.0900;-23.7700;-45.3200
1552.4000;-69.0900;-23.7600;-45.3300
1552.5000;-69.0800;-23.7400;-45.3400
1552.6000;-69.0800;-23.7200;-45.3600
1552.7000;-69.0800;-23.7100;-45.3700
1552.8000;-69.0800;-23.6900;-45.3900
1552.9000;-69.0900;-23.6700;-45.4200
1553.0000;-69.0800;-23.6600;-45.4200
1553.1000;-69.0600;-23.6400;-45.4200
1553.2000;-69.0600;-23.6300;-45.4300
1553.3000;-69.0700;-23.6100;-45.4600
1553.4000;-69.0600;-23.5900;-45.4700
1553.5000;-69.0500;-23.5800;-45.4700
1553.6000;-69.0300;-23.5600;-45.4700
1553.7000;-69.0000;-23.5400;-45.4600
1553.8000;-68.9800;-23.5300;-45.4500
1553.9000;-68.9600;-23.5100;-45.4500
1554.0000;-68.9500;-23.4900;-45.4600
1554.1000;-68.9300;-23.4800;-45.4500
1554.2000;-68.9100;-23.4700;-45.4400
1554.3000;-68.8900;-23.4500;-45.4400
1554.4000;-68.8900;-23.4400;-45.4500
1554.5000;-68.8800;-23.4200;-45.4600
1554.6000;-68.8800;-23.4000;-45.4800
1554.7000;-68.8800;-23.3900;-45.4900
1554.8000;-68.8700;-23.3700;-45.5000
1554.9000;-68.8700;-23.3600;-45.5100
1555.0000;-68.8600;-23.3400;-45.5200
1555.1000;-68.8600;-23.3200;-45.5400
1555.2000;-68.8500;-23.3100;-45.5400
1555.3000;-68.8200;-23.2900;-45.5300
1555.4000;-68.7900;-23.2700;-45.5200
1555.5000;-68.7800;-23.2500;-45.5300
1555.6000;-68.7600;-23.2400;-45.5200
1555.7000;-68.7500;-23.2200;-45.5300
1555.8000;-68.7500;-23.2000;-45.5500
1555.9000;-68.7300;-23.1900;-45.5400
1556.0000;-68.7200;-23.1700;-45.5500
1556.1000;-68.7100;-23.1600;-45.5500
1556.2000;-68.7000;-23.1400;-45.5600
1556.3000;-68.7100;-23.1200;-45.5900
1556.4000;-68.7200;-23.1100;-45.6100
1556.5000;-68.7200;-23.0900;-45.6300
1556.6000;-68.7200;-23.0800;-45.6400
1556.7000;-68.7100;-23.0600;-45.6500
1556.8000;-68.7000;-23.0500;-45.6500
1556.9000;-68.7000;-23.0300;-45.6700
1557.0000;-68.6900;-23.0200;-45.6700
1557.1000;-68.6600;-23.0000;-45.6600
1557.2000;-68.6500;-22.9900;-45.6600
1557.3000;-68.6400;-22.9700;-45.6700
1557.4000;-68.6200;-22.9600;-45.6600
1557.5000;-68.6100;-22.9400;-45.6700
1557.6000;-68.5900;-22.9300;-45.6600
1557.7000;-68.5600;-22.9100;-45.6500
1557.8000;-68.5400;-22.9000;-45.6400
1557.9000;-68.5300;-22.8800;-45.6500
1558.0000;-68.5100;-22.8600;-45.6500
1558.1000;-68.5100;-22.8500;-45.6600
1558.2000;-68.5000;-22.8300;-45.6700
1558.3000;-68.5000;-22.8100;-45.6900
1558.4000;-68.5000;-22.8000;-45.7000
1558.5000;-68.5100;-22.7800;-45.7300
1558.6000;-68.5000;-22.7600;-45.7400
1558.7000;-68.5000;-22.7500;-45.7500
1558.8000;-68.4900;-22.7300;-45.7600
1558.9000;-68.4600;-22.7200;-45.7400
1559.0000;-68.4600;-22.7000;-45.7600
1559.1000;-68.4600;-22.6900;-45.7700
1559.2000;-68.4600;-22.6700;-45.7900
1559.3000;-68.4400;-22.6600;-45.7800
1559.4000;-68.4100;-22.6500;-45.7600
1559.5000;-68.3900;-22.6300;-45.7600
1559.6000;-68.3900;-22.6200;-45.7700
1559.7000;-68.3800;-22.6100;-45.7700
1559.8000;-68.3800;-22.5900;-45.7900
1559.9000;-68.3800;-22.5800;-45.8000
1560.0000;-68.3700;-22.5700;-45.8000
1560.1000;-68.3600;-22.5500;-45.8100
1560.2000;-68.3500;-22.5400;-45.8100
1560.3000;-68.3500;-22.5200;-45.8300
1560.4000;-68.3500;-22.5100;-45.8400
1560.5000;-68.3400;-22.4900;-45.8500
1560.6000;-68.3100;-22.4800;-45.8300
1560.7000;-68.2900;-22.4700;-45.8200
1560.8000;-68.2900;-22.4500;-45.8400
1560.9000;-68.2800;-22.4400;-45.8400
1561.0000;-68.2700;-22.4300;-45.8400
1561.1000;-68.2600;-22.4200;-45.8400
1561.2000;-68.2600;-22.4100;-45.8500
1561.3000;-68.2500;-22.3900;-45.8600
1561.4000;-68.2300;-22.3800;-45.8500
1561.5000;-68.2100;-22.3700;-45.8400
1561.6000;-68.2100;-22.3600;-45.8500
1561.7000;-68.2100;-22.3400;-45.8700
1561.8000;-68.2100;-22.3300;-45.8800
1561.9000;-68.2000;-22.3200;-45.8800
1562.0000;-68.1800;-22.3100;-45.8700
1562.1000;-68.1600;-22.2900;-45.8700
1562.2000;-68.1400;-22.2800;-45.8600
1562.3000;-68.1200;-22.2700;-45.8500
1562.4000;-68.1200;-22.2500;-45.8700
1562.5000;-68.1200;-22.2400;-45.8800
1562.6000;-68.1100;-22.2300;-45.8800
1562.7000;-68.0900;-22.2100;-45.8800
1562.8000;-68.0600;-22.2000;-45.8600
1562.9000;-68.0400;-22.1900;-45.8500
1563.0000;-68.0200;-22.1700;-45.8500
1563.1000;-68.0100;-22.1600;-45.8500
1563.2000;-67.9900;-22.1500;-45.8400
